Genus	pHAGD7_f2	pHAGD7_f3	pHAGD7_f7	pHAGD7_f8
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Dyadobacter	0	0	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter	18	4	2	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Ohtaekwangia	0	0	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Pontibacter	0	0	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Spirosoma	0	0	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Sporocytophaga	0	2	1	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;uncultured	0	0	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Candidatus_Amoebophilus	0	0	2	1
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Candidatus_Paenicardinium	1	2	0	0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium	0	0	0	0
Bacteria;Bacteroidetes;Ika33;Ika33_or;Ika33_fa;Ika33_ge	0	0	0	0
Bacteria;Bacteroidetes;SB-5;SB-5_or;SB-5_fa;SB-5_ge	1662	1131	255	432
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;AKYH767;AKYH767_ge	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Chitinophaga	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Chitinophagaceae_unclassified	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Ferruginibacter	0	0	0	1
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Flavihumibacter	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Flavisolibacter	25	16	6	14
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Flavitalea	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Niastella	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Parafilimonas	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Sediminibacterium	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Segetibacter	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Taibaiella	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Terrimonas	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;uncultured	1	0	2	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;env.OPS_17;env.OPS_17_ge	0	3	0	1
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Lentimicrobiaceae;Lentimicrobiaceae_ge	837	668	112	197
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Lentimicrobiaceae;Lentimicrobium	1537	916	195	355
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NS11-12_marine_group;NS11-12_marine_group_ge	0	0	0	0
